accession_name	genome_accession	Sequence_abundance	Adjusted_ANI	Eff_cov	Contig_name	completeness	contamination	contigs	taxonomy	species	sample_name	fermented_food
7741_001_S26	MAG_579	0.2042	98.52	0.748	MAG_579_0	78.54	8.62	522	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Leclercia_A	Leclercia A pneumoniae	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	FalardeauJ_2023__SRR20811137__bin.9	0.1675	96.45	0.59	NODE_13_length_192530_cov_13.6963_ID_23629	100	0.09	112	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Hafnia	Hafnia paralvei	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	MortensenS_xxxx__WK023-1-L-48h-02G3_S117__bin.1	0.0487	97.78	0.395	WK023-1-L-48h-02G3_S117_k141_1117	99.82363316	0	29	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	Leuconostoc pseudomesenteroides	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	GCF_010306265.1_ASM1030626v1_genomic	0.0448	99.39	0.39	"GCF_010306265.1_ASM1030626v1_genomic_NZ_BLKA01000001.1 Weissella sagaensis strain X0278 contig1, whole genome shotgun sequence"	98.77	0	20	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Weissella	Weissella sagaensis	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	ODFM-BA-A-0094-002_Leuconostoc_lactis_WIKIM21	0.0287	98.14	0.265	"ODFM-BA-A-0094-002_Leuconostoc_lactis_WIKIM21_NZ_LJIV01000001.1 Leuconostoc lactis strain WIKIM21 contig00001, whole genome shotgun sequence"	99.44	0.84	22	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	Leuconostoc lactis A	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	MortensenS_xxxx__WK002-1-L-48h-01F6_S30__bin.6	0.0282	95.07	0.259	WK002-1-L-48h-01F6_S30_k141_2565	100	0	16	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	Leuconostoc falkenbergense	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	ODFM-BA-A-0027-003_Lactobacillus_sakei_WiKim0072	0.0324	98.53	0.259	"ODFM-BA-A-0027-003_Lactobacillus_sakei_WiKim0072_NZ_CP025136.1 Lactobacillus sakei strain WiKim0072 chromosome, complete genome"	99.46	0	3	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Latilactobacillus	Latilactobacillus sakei	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	YouL_2022__SRR13308526__bin.24	0.0637	98.47	0.226	NODE_37_length_141872_cov_18.1171_ID_20191	88.99	4.01	218	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	Enterobacter ludwigii	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	MASTER_WP4_TEAGASC_1__TGS08-29__bin.64	0.0719	97.9	0.219	TGS08-29_k141_17440	98.21428571	0.558035714	27	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Serratia	Serratia liquefaciens	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	LiZ_2019__SRS3379157__bin.3	0.0581	96.98	0.199	SRS3379157_k141_320	99.44609788	0.639880952	195	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	Enterobacter mori	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	FontanaF_2023__SRR20746869__bin.1	0.0329	96.05	0.176	NODE_117_length_29172_cov_5.0000_ID_19762	69.12	1.15	872	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	Enterobacter asburiae B	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	EBC_147.23	0.0578	97.84	0.176	EBC_147.23_EBC_147_scaffold_41	77.74	0.86	315	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Rahnella	Rahnella aceris	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	XieM_2019__SAMC044639__bin.32	0.0414	97.88	0.147	SAMC044639_k141_719	97.32240437	1.879781421	45	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pantoea	Pantoea agglomerans	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	LeechJ_2020__ERS3967699__bin.1	0.0392	97.94	0.128	ERS3967699_k141_136	98.68852459	0.511839709	59	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Rahnella	Rahnella rivi	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	LeechJ_xxxx__AF84__bin.30	0.0292	96.58	0.106	AF84_k141_2549	98.68519585	0.664457071	90	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Lelliottia	Lelliottia amnigena	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	MAG_45	0.0144	98.12	0.091	MAG_45_0	85.45	0.19	536	Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus_D	Enterococcus D casseliflavus	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	MAG_501	0.0116	98.49	0.083	MAG_501_0	100	0	46	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	Lactococcus lactis	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	MortensenS_xxxx__WK028-2-L-48h-03A1_S20__bin.5	0.0081	96.73	0.077	WK028-2-L-48h-03A1_S20_k141_3165	99.88764045	0	19	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	Leuconostoc citreum	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	ODFM-BA-A-0005-002_Lactobacillus_curvatus_WiKim38	0.0071	97.01	0.059	"ODFM-BA-A-0005-002_Lactobacillus_curvatus_WiKim38_NZ_CP017124.1 Lactobacillus curvatus strain WiKim38, complete genome"	99.46	0	1	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Latilactobacillus	Latilactobacillus curvatus	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_001_S26	LeechJ_xxxx__AF54__bin.1	0.01	96.48	0.027	AF54_k141_786	98.24016563	0.432312253	483	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas_E	Pseudomonas E paracarnis	FF0100_Cultured Pickle Raw Vintage Kraut	sauerkraut
7741_002_S27	Wy2_bin.circ.1	68.2183	99.69	756	s8.ctg000010c	99.89	0.15	1	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	Streptococcus thermophilus	FF0121_straus organic kefir	kefir
7741_002_S27	MAG_496	17.1815	98.05	245	MAG_496_0	51.74	9.49	612	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	Lactobacillus spp.	FF0121_straus organic kefir	kefir
7741_002_S27	GCF_006740305.1_ASM674030v1_genomic	14.2379	97.13	152	"GCF_006740305.1_ASM674030v1_genomic_NZ_AP019750.1 Lactobacillus delbrueckii subsp. delbrueckii strain NBRC 3202 chromosome, complete genome"	99.03	0	1	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	Lactobacillus delbrueckii	FF0121_straus organic kefir	kefir
7741_002_S27	PatroJN_2016__SRS1044738__bin.12	0.275	99.75	2.904	SRS1044738_k141_579	98.94480519	0	24	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	Lactobacillus acidophilus	FF0121_straus organic kefir	kefir
7741_002_S27	MAG_502	0.0325	99.41	0.345	MAG_502_0	100	0	19	Actinomycetota;Actinomycetes;Actinomycetales;Bifidobacteriaceae;Bifidobacterium	Bifidobacterium animalis	FF0121_straus organic kefir	kefir
7741_002_S27	CM_UNINA_FFOOD__FFOOD_415__bin.4	0.0153	99.65	0.122	NODE_4_length_126714_cov_165.9844_ID_4712	98.72	0.03	99	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus	Lacticaseibacillus casei	FF0121_straus organic kefir	kefir
7741_002_S27	CM_UNINA_FFOOD__FFOOD_337__bin.6	0.0155	99.83	0.107	NODE_1_length_525164_cov_377.9581_ID_7678	99.92	0.06	40	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus	Lacticaseibacillus rhamnosus	FF0121_straus organic kefir	kefir
7741_002_S27	MASTER_WP4_CSIC_1__P2235_73323__bin.20	0.0167	98.54	0.085	P2235_73323_k141_56	71.1315981	0.934343434	1224	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	Pseudomonas aeruginosa	FF0121_straus organic kefir	kefir
7741_002_S27	MAG_501	0.0072	99.65	0.065	MAG_501_0	100	0	46	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	Lactococcus lactis	FF0121_straus organic kefir	kefir
7741_003_S28	Wy2_bin.circ.1	41.6148	99.33	550	s8.ctg000010c	99.89	0.15	1	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	Streptococcus thermophilus	FF0125_straus organic yogurt	yogurt
7741_003_S28	MAG_496	26.1674	98.17	445	MAG_496_0	51.74	9.49	612	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	Lactobacillus spp.	FF0125_straus organic yogurt	yogurt
7741_003_S28	GCF_006740305.1_ASM674030v1_genomic	29.6892	96.67	378	"GCF_006740305.1_ASM674030v1_genomic_NZ_AP019750.1 Lactobacillus delbrueckii subsp. delbrueckii strain NBRC 3202 chromosome, complete genome"	99.03	0	1	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	Lactobacillus delbrueckii	FF0125_straus organic yogurt	yogurt
7741_003_S28	PatroJN_2016__SRS1044738__bin.12	2.4621	100	31	SRS1044738_k141_579	98.94480519	0	24	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	Lactobacillus acidophilus	FF0125_straus organic yogurt	yogurt
7741_003_S28	MAG_502	0.0521	99.52	0.659	MAG_502_0	100	0	19	Actinomycetota;Actinomycetes;Actinomycetales;Bifidobacteriaceae;Bifidobacterium	Bifidobacterium animalis	FF0125_straus organic yogurt	yogurt
7741_003_S28	MASTER_WP4_CSIC_1__P2235_73323__bin.20	0.0144	96.34	0.087	P2235_73323_k141_56	71.1315981	0.934343434	1224	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	Pseudomonas aeruginosa	FF0125_straus organic yogurt	yogurt
7741_004_S29	GCF_006740305.1_ASM674030v1_genomic	48.7342	98.7	434	"GCF_006740305.1_ASM674030v1_genomic_NZ_AP019750.1 Lactobacillus delbrueckii subsp. delbrueckii strain NBRC 3202 chromosome, complete genome"	99.03	0	1	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	Lactobacillus delbrueckii	FF0137_le gryuere switzerland	cheese
7741_004_S29	Wy2_bin.circ.1	37.969	99.79	351	s8.ctg000010c	99.89	0.15	1	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	Streptococcus thermophilus	FF0137_le gryuere switzerland	cheese
7741_004_S29	FontanaF_2023__SRR20746979__bin.3	5.7919	99.7	58	NODE_10_length_61143_cov_28.9945_ID_1888	99.85	0.07	165	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	Lactobacillus helveticus	FF0137_le gryuere switzerland	cheese
7741_004_S29	MASTER_WP4_FFoQSI_1__VB-16-M13__bin.18	2.3124	99.71	13.808	VB-16-M13_k141_479	95.83060288	0.524246396	61	Actinomycetota;Actinomycetes;Actinomycetales;Micrococcaceae;Yaniella	Yaniella sp030453185	FF0137_le gryuere switzerland	cheese
7741_004_S29	FontanaF_2023__SRR20746951__bin.4	2.2124	99.24	13.377	NODE_1_length_333540_cov_36.9994_ID_1661	99.8	0.04	46	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus	Lacticaseibacillus paracasei	FF0137_le gryuere switzerland	cheese
7741_004_S29	YangC_2021__SRR13259378__bin.4	1.0961	99.76	6.754	NODE_1_length_474995_cov_31.9992_ID_148470	99.93	0.07	102	Bacillota;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	Staphylococcus equorum	FF0137_le gryuere switzerland	cheese
7741_004_S29	MASTER_WP4_FFoQSI_1__VB-03-M5__bin.22	0.3097	99.93	1.778	VB-03-M5_k141_132	95.05813953	0	269	Actinomycetota;Actinomycetes;Actinomycetales;Brevibacteriaceae;Brevibacterium	Brevibacterium spp.	FF0137_le gryuere switzerland	cheese
7741_004_S29	QuijadaN_2022__ERR7245779__bin.25	0.1871	99.78	1.599	NODE_1_length_351978_cov_309.9895_ID_118563	99.2	0.03	36	Actinomycetota;Actinomycetes;Actinomycetales;Microbacteriaceae;Canibacter	Canibacter spp.	FF0137_le gryuere switzerland	cheese
7741_004_S29	MASTER_WP4_FFoQSI_1__VB-15-M10__bin.23	0.1803	99.67	1.31	VB-15-M10_k141_353	95.65217391	1.630434783	61	Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes	Atopostipes spp.	FF0137_le gryuere switzerland	cheese
7741_004_S29	MASTER_WP4_FFoQSI_1__VB-16-M16__bin.5	0.1172	98.83	0.627	VB-16-M16_k141_134	97.48062016	0.290697674	186	Actinomycetota;Actinomycetes;Actinomycetales;Brevibacteriaceae;Brevibacterium	Brevibacterium yomogidense A	FF0137_le gryuere switzerland	cheese
7741_004_S29	QuijadaN_2022__ERR7245780__bin.14	0.15	99.64	0.556	NODE_9_length_243334_cov_66.9984_ID_68957	98.42	0.24	116	Actinomycetota;Actinomycetes;Actinomycetales;Beutenbergiaceae;Ruania	Ruania spp.	FF0137_le gryuere switzerland	cheese
7741_004_S29	LeechJ_2020__ERS3967688__bin.2	0.1433	99.18	0.55	ERS3967688_k141_1437	99.37169312	0.037202381	102	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia	Escherichia coli	FF0137_le gryuere switzerland	cheese
7741_004_S29	MASTER_WP4_FFoQSI_1__KM-1G__bin.1	0.0698	99.56	0.476	KM-1G_k141_143	95.01529052	1.051223242	145	Actinomycetota;Actinomycetes;Actinomycetales;Micrococcaceae;Nesterenkonia	Nesterenkonia spp.	FF0137_le gryuere switzerland	cheese
7741_004_S29	YangC_2021__SRR13259377__bin.4	0.0754	98.73	0.466	NODE_2_length_342739_cov_411.9856_ID_41139	100	0.07	65	Bacillota;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	Staphylococcus equorum A	FF0137_le gryuere switzerland	cheese
7741_004_S29	We6_bin.circ.9	0.1044	99.1	0.406	s34.ctg000041c	100	0	1	Actinomycetota;Actinomycetes;Actinomycetales;Brevibacteriaceae;Brevibacterium	Brevibacterium aurantiacum	FF0137_le gryuere switzerland	cheese
7741_004_S29	MASTER_WP4_FFoQSI_1__KM-2D__bin.24	0.0598	99.88	0.344	KM-2D_k141_584	97.22222222	0	330	Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;JB111	JB111 spp.	FF0137_le gryuere switzerland	cheese
7741_004_S29	CM_UNINA_FFOOD__FFOOD_425__bin.9	0.0339	97.79	0.31	NODE_1_length_598382_cov_75.9985_ID_32759	99.98	0	9	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus	Pediococcus acidilactici	FF0137_le gryuere switzerland	cheese
7741_004_S29	MASTER_WP4_TEAGASC_1__TGS04-30__bin.1	0.0448	99.31	0.24	TGS04-30_k141_93	99.13663664	0.540540541	98	Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Corynebacterium	Corynebacterium faecigallinarum	FF0137_le gryuere switzerland	cheese
7741_004_S29	CM_UNINA_FFOOD__FFOOD_227__bin.5	0.0345	99.43	0.223	NODE_13_length_120594_cov_11.9989_ID_9743	99.05	0.06	156	Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Corynebacterium	Corynebacterium casei	FF0137_le gryuere switzerland	cheese
7741_004_S29	MASTER_WP4_FFoQSI_3__VB13-29__bin.20	0.0349	99.09	0.199	VB13-29_k141_377	92.69005848	0.584795322	285	Actinomycetota;Actinomycetes;Actinomycetales;Dermabacteraceae;Brachybacterium	Brachybacterium sp014400405	FF0137_le gryuere switzerland	cheese
7741_004_S29	MASTER_WP4_FFoQSI_1__VB-08-AG__bin.20	0.0349	99.83	0.176	VB-08-AG_k141_1700	96.25382263	1.376146789	48	Actinomycetota;Actinomycetes;Actinomycetales;Micrococcaceae;CmP2	CmP2 spp.	FF0137_le gryuere switzerland	cheese
7741_004_S29	MASTER_WP4_FFoQSI_2__VB11-29__bin.23	0.033	95.31	0.176	VB11-29_k141_43	92.90448343	0	305	Actinomycetota;Actinomycetes;Actinomycetales;Dermabacteraceae;Brachybacterium	Brachybacterium sp030457675	FF0137_le gryuere switzerland	cheese
7741_004_S29	MASTER_WP4_FFoQSI_3__VB13-29__bin.48	0.0276	96.63	0.165	VB13-29_k141_2441	98.24561404	0.584795322	41	Actinomycetota;Actinomycetes;Actinomycetales;Microbacteriaceae;Leucobacter	Leucobacter spp.	FF0137_le gryuere switzerland	cheese
7741_004_S29	KastmanEK_2016__CSB694__bin.4	0.0376	98.28	0.161	CSB694_k119_25	83.60326689	4.651162791	505	Actinomycetota;Actinomycetes;Actinomycetales;Brevibacteriaceae;Brevibacterium	Brevibacterium spp.	FF0137_le gryuere switzerland	cheese
7741_004_S29	WolfeBE_2014__491_Bayley__bin.8	0.0353	98.75	0.154	491_Bayley_k119_105	100	0.584795322	204	Actinomycetota;Actinomycetes;Actinomycetales;Dermabacteraceae;Brachybacterium	Brachybacterium alimentarium	FF0137_le gryuere switzerland	cheese
7741_004_S29	MASTER_WP4_FFoQSI_2__VB10-30__bin.20	0.0259	98.3	0.131	VB10-30_k141_28	96.31782946	1.308139535	504	Actinomycetota;Actinomycetes;Actinomycetales;Brevibacteriaceae;Brevibacterium	Brevibacterium sp004745075	FF0137_le gryuere switzerland	cheese
7741_004_S29	MASTER_WP4_TEAGASC_1__TGS04-28__bin.25	0.0252	97.44	0.115	TGS04-28_k141_219	97.93771044	2.064293731	125	Actinomycetota;Actinomycetes;Actinomycetales;Microbacteriaceae;Microbacterium	Microbacterium sp900163665	FF0137_le gryuere switzerland	cheese
7741_004_S29	MASTER_WP4_FFoQSI_1__KM-4D__bin.40	0.0163	98.96	0.107	KM-4D_k141_2128	99.78991597	0	42	Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Ancrocorticia	Ancrocorticia populi	FF0137_le gryuere switzerland	cheese
7741_004_S29	MASTER_WP4_FFoQSI_1__VB-15-BD__bin.9	0.017	97.28	0.081	VB-15-BD_k141_603	85.65302144	2.631578947	487	Actinomycetota;Actinomycetes;Actinomycetales;Dermabacteraceae;Brachybacterium	Brachybacterium spp.	FF0137_le gryuere switzerland	cheese
7741_004_S29	MASTER_WP4_FFoQSI_1__VB-12D__bin.11	0.0114	97.79	0.078	VB-12D_k141_1575	99.82399755	0.168350168	38	Actinomycetota;Actinomycetes;Actinomycetales;Microbacteriaceae;Agrococcus	Agrococcus casei	FF0137_le gryuere switzerland	cheese
7741_004_S29	CM_UNINA_FFOOD__FFOOD_408__bin.5	0.0107	96.64	0.07	NODE_6_length_149100_cov_225.9819_ID_15424	100	0.22	66	Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Propionibacterium	Propionibacterium freudenreichii	FF0137_le gryuere switzerland	cheese
7741_004_S29	MASTER_WP4_FFoQSI_1__VB14-F-BR__bin.39	0.0148	99.37	0.064	VB14-F-BR_k141_2877	99.41860465	0	95	Actinomycetota;Actinomycetes;Actinomycetales;Beutenbergiaceae;CALKWS01	CALKWS01 spp.	FF0137_le gryuere switzerland	cheese
7741_004_S29	MASTER_WP4_FFoQSI_2__VB03-30__bin.18	0.0093	100	0.05	VB03-30_k141_788	97.46941896	2.244429882	68	Actinomycetota;Actinomycetes;Actinomycetales;Micrococcaceae;Nesterenkonia	Nesterenkonia spp.	FF0137_le gryuere switzerland	cheese
7741_004_S29	MASTER_WP4_FFoQSI_3__VB13-29__bin.36	0.0083	98.17	0.049	VB13-29_k141_1523	98.68125701	1.276655443	189	Actinomycetota;Actinomycetes;Actinomycetales;Microbacteriaceae;Microbacterium	Microbacterium stercoravium	FF0137_le gryuere switzerland	cheese
7741_004_S29	MASTER_WP4_CSIC_1__P2235_73323__bin.20	0.011	97.01	0.047	P2235_73323_k141_56	71.1315981	0.934343434	1224	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	Pseudomonas aeruginosa	FF0137_le gryuere switzerland	cheese
7741_004_S29	MASTER_WP4_FFoQSI_1__VB-05-BD__bin.48	0.0087	96.1	0.045	VB-05-BD_k141_6978	99.74093264	2.124352332	46	Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Aeromicrobium	Aeromicrobium spp.	FF0137_le gryuere switzerland	cheese
7741_004_S29	MASTER_WP4_FFoQSI_2__VB06-30__bin.23	0.0073	95.9	0.043	VB06-30_k141_218	96.46464646	2.104377104	237	Actinomycetota;Actinomycetes;Actinomycetales;Microbacteriaceae;Microbacterium	Microbacterium spp.	FF0137_le gryuere switzerland	cheese
7741_004_S29	MASTER_WP4_FFoQSI_2__VB15-29__bin.12	0.0046	100	0.029	VB15-29_k141_885	99.79166667	0	62	Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Flaviflexus	Flaviflexus ciconiae	FF0137_le gryuere switzerland	cheese
7741_005_S30	Wy2_bin.circ.1	22.3146	99.86	149	s8.ctg000010c	99.89	0.15	1	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	Streptococcus thermophilus	FF0139_taleggio	cheese
7741_005_S30	FalardeauJ_2023__SRR20811282__bin.3	11.7191	99.89	38	NODE_2_length_290670_cov_80.9780_ID_5607	99.98	0.09	101	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Alteromonadaceae;Pseudoalteromonas	Pseudoalteromonas nigrifaciens	FF0139_taleggio	cheese
7741_005_S30	DeFilippisF_xxxx__DF_114__bin.22	10.0023	99.54	36	DF_114_k141_840	93.54521625	0.458715596	107	Actinomycetota;Actinomycetes;Actinomycetales;Micrococcaceae;Glutamicibacter	Glutamicibacter bergerei	FF0139_taleggio	cheese
7741_005_S30	We6_bin.full.31	9.7458	98.81	31	s8.ctg000009l	100	0.43	1	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Halomonadaceae;Vreelandella	Vreelandella casei	FF0139_taleggio	cheese
7741_005_S30	DeFilippisF_xxxx__DF_100__bin.1	9.118	99.95	27	DF_100_k141_151	96.9266055	1.949541284	134	Actinomycetota;Actinomycetes;Actinomycetales;Micrococcaceae;Specibacter	Specibacter spp.	FF0139_taleggio	cheese
7741_005_S30	181	6.9565	99.95	23	NODE_1_length_2153466_cov_48.443198	99.53	0.62	12	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter	Psychrobacter sp014861395	FF0139_taleggio	cheese
7741_005_S30	MAG_632	5.566	99.99	20	MAG_632_0	93.17	0.88	208	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Alteromonadaceae;Pseudoalteromonas	Pseudoalteromonas spp.	FF0139_taleggio	cheese
7741_005_S30	MAG_496	2.2114	97.81	19	MAG_496_0	51.74	9.49	612	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	Lactobacillus spp.	FF0139_taleggio	cheese
